Country,Month,Year,Events,Fatalities
Australia,January,2021,1,0
Australia,February,2021,0,0
Australia,March,2021,0,0
Australia,April,2021,0,0
Australia,May,2021,1,0
Australia,June,2021,0,0
Australia,July,2021,0,0
Australia,August,2021,1,0
Australia,September,2021,0,0
Australia,October,2021,0,0
Australia,November,2021,0,0
Australia,December,2021,0,0
Australia,January,2022,0,0
Australia,February,2022,0,0
Australia,March,2022,0,0
Australia,April,2022,0,0
Australia,May,2022,0,0
Australia,June,2022,0,0
Australia,July,2022,0,0
Australia,August,2022,0,0
Australia,September,2022,0,0
Australia,October,2022,1,1
Australia,November,2022,0,0
Australia,December,2022,0,0
Australia,January,2023,0,0
Australia,February,2023,0,0
Australia,March,2023,0,0
Australia,April,2023,0,0
Australia,May,2023,0,0
Australia,June,2023,0,0
Australia,July,2023,0,0
Australia,August,2023,0,0
Australia,September,2023,0,0
Australia,October,2023,0,0
Australia,November,2023,0,0
Australia,December,2023,0,0
Australia,January,2024,0,0
Australia,February,2024,0,0
Australia,March,2024,0,0
Australia,April,2024,1,0
Australia,May,2024,0,0
Australia,June,2024,1,0
Australia,July,2024,0,0
Australia,August,2024,0,0
Australia,September,2024,0,0
Australia,October,2024,0,0
Australia,November,2024,0,0
Australia,December,2024,1,0
Australia,January,2025,0,0
Australia,February,2025,0,0
Australia,March,2025,0,0
Australia,April,2025,0,0
Australia,May,2025,0,0
Australia,June,2025,0,0
Australia,July,2025,0,0
Australia,August,2025,1,0
Australia,September,2025,0,0
Australia,October,2025,0,0
Australia,November,2025,0,0
Australia,December,2025,0,0
Australia,January,2026,1,0
Australia,February,2026,0,0
Australia,March,2026,0,0
Australia,April,2026,0,0
