Country,Month,Year,Events,Fatalities
Antarctica,January,2021,0,0
Antarctica,February,2021,0,0
Antarctica,March,2021,0,0
Antarctica,April,2021,0,0
Antarctica,May,2021,0,0
Antarctica,June,2021,0,0
Antarctica,July,2021,0,0
Antarctica,August,2021,0,0
Antarctica,September,2021,0,0
Antarctica,October,2021,0,0
Antarctica,November,2021,0,0
Antarctica,December,2021,0,0
Antarctica,January,2022,0,0
Antarctica,February,2022,0,0
Antarctica,March,2022,0,0
Antarctica,April,2022,0,0
Antarctica,May,2022,0,0
Antarctica,June,2022,0,0
Antarctica,July,2022,0,0
Antarctica,August,2022,0,0
Antarctica,September,2022,0,0
Antarctica,October,2022,0,0
Antarctica,November,2022,0,0
Antarctica,December,2022,0,0
Antarctica,January,2023,0,0
Antarctica,February,2023,0,0
Antarctica,March,2023,0,0
Antarctica,April,2023,0,0
Antarctica,May,2023,0,0
Antarctica,June,2023,0,0
Antarctica,July,2023,0,0
Antarctica,August,2023,0,0
Antarctica,September,2023,0,0
Antarctica,October,2023,0,0
Antarctica,November,2023,0,0
Antarctica,December,2023,0,0
Antarctica,January,2024,0,0
Antarctica,February,2024,0,0
Antarctica,March,2024,0,0
Antarctica,April,2024,0,0
Antarctica,May,2024,0,0
Antarctica,June,2024,0,0
Antarctica,July,2024,0,0
Antarctica,August,2024,0,0
Antarctica,September,2024,0,0
Antarctica,October,2024,0,0
Antarctica,November,2024,0,0
Antarctica,December,2024,0,0
Antarctica,January,2025,0,0
Antarctica,February,2025,0,0
Antarctica,March,2025,0,0
Antarctica,April,2025,0,0
Antarctica,May,2025,0,0
Antarctica,June,2025,0,0
Antarctica,July,2025,0,0
Antarctica,August,2025,0,0
Antarctica,September,2025,0,0
Antarctica,October,2025,0,0
Antarctica,November,2025,0,0
Antarctica,December,2025,0,0
Antarctica,January,2026,0,0
Antarctica,February,2026,0,0
Antarctica,March,2026,0,0
Antarctica,April,2026,0,0
